name,calories_per_100g,protein_per_100g,calories_per_unit,protein_per_unit,unit_type,serving_name,serving_quantity,categories,image
Chicken Shawarma,,,400,20,piece,roll,1,Non-Veg;Street Food;Fast Food,
Veg Frankie,,,250,6,piece,roll,1,Street Food;Veg,
Paneer Frankie,,,350,12,piece,roll,1,Street Food;Veg;High Protein,
Chicken Biryani,220,15,,,g,,,Non-Veg;Indian;High Carb,
Egg Fried Rice,180,6,,,g,,,Egg;Chinese;High Carb,
Chicken Fried Rice,200,10,,,g,,,Non-Veg;Chinese;High Carb,
Hakka Noodles,150,5,,,g,,,Chinese;Fast Food;High Carb,
Chicken Noodles,180,10,,,g,,,Chinese;Non-Veg;High Carb,
Vegetable Soup,40,2,,,ml,bowl,1,Healthy;Low Calorie,
Chicken Soup,80,6,,,ml,bowl,1,Non-Veg;High Protein;Healthy,
Banana Shake,120,3,,,ml,glass,1,Beverages;High Carb,
Chocolate Milkshake,150,4,,,ml,glass,1,Beverages;Junk
Fish Fry Kerala,230,20,,,g,,,Non-Veg;Indian;Junk,
Prawn Curry,180,20,,,g,,,Non-Veg;Indian;High Protein,
Chicken Keema,250,22,,,g,,,Non-Veg;High Protein,
Mutton Keema,280,20,,,g,,,Non-Veg;High Protein,
Boiled Chicken Salad,150,25,,,g,,,Non-Veg;Healthy;High Protein,
Grilled Chicken Sandwich,,,320,20,piece,,,Non-Veg;High Protein;Fast Food,
Chicken Caesar Salad,180,15,,,g,,,Non-Veg;Healthy,
Paneer Tikka Roll,,,360,14,piece,,,Veg;Indian;High Protein,
Paneer Bhurji Sandwich,,,340,15,piece,,,Veg;High Protein,
Veg Cheese Burger,,,420,12,piece,,,Fast Food;Veg;Junk,
Double Chicken Burger,,,550,30,piece,,,Fast Food;Non-Veg;High Protein,
Cheese Garlic Bread,,,300,8,piece,,,Fast Food;Veg;Junk,
Garlic Bread,,,250,6,piece,,,Fast Food;Veg,
Veg Lasagna,200,8,,,g,,,Fast Food;Veg,
Chicken Lasagna,250,15,,,g,,,Fast Food;Non-Veg,
Veg Sushi,,,200,6,piece,,,Healthy;Veg,
Chicken Sushi,,,250,12,piece,,,Healthy;Non-Veg,
Veg Burrito,,,300,8,piece,,,Fast Food;Veg,
Chicken Burrito,,,380,18,piece,,,Fast Food;Non-Veg;High Protein,
Paneer Burrito,,,350,14,piece,,,Fast Food;Veg;High Protein,
Veg Quesadilla,,,280,7,piece,,,Fast Food;Veg,
Chicken Quesadilla,,,350,15,piece,,,Fast Food;Non-Veg,
Falooda,,,300,5,glass,,,Desserts;Veg,
Kheer,150,4,,,g,,,Desserts;Veg
Chicken Stew,180,20,,,g,,,Non-Veg;Indian;Healthy,
Mutton Stew,220,18,,,g,,,Non-Veg;Indian,
Fish Stew,160,20,,,g,,,Non-Veg;Indian;Healthy,
Egg Drop Soup,70,6,,,ml,,,Egg;Healthy,
Chicken Clear Soup,60,8,,,ml,,,Non-Veg;Healthy,
Veg Clear Soup,40,2,,,ml,,,Veg;Healthy,
Tom Yum Soup,90,6,,,ml,,,Non-Veg;Healthy,
Hot Chocolate,180,5,,,ml,,,Beverages;Desserts,
Chocolate Shake Thick,200,6,,,ml,,,Beverages;Junk,
Strawberry Smoothie,120,3,,,ml,,,Beverages;Healthy,
Mango Smoothie,140,3,,,ml,,,Beverages;Healthy,
Banana Smoothie,130,4,,,ml,,,Beverages;Healthy,
Cold Cocoa,160,4,,,ml,,,Beverages;Junk,
Iced Latte,90,4,,,ml,,,Beverages,
Mocha Coffee,120,5,,,ml,,,Beverages,
Veg Momos Tandoori,,,380,10,piece,,,Veg;Junk,
Chicken Momos Tandoori,,,420,18,piece,,,Non-Veg;Junk;High Protein,
Paneer Momos Kurkure,,,480,14,piece,,,Veg;Junk;High Protein,
Chicken Momos Kurkure,,,520,20,piece,,,Non-Veg;Junk;High Protein,
Veg Manchow Soup,80,3,,,ml,,,Chinese;Veg,
Chicken Manchow Soup,120,8,,,ml,,,Chinese;Non-Veg,
Veg Schezwan Noodles,190,5,,,g,,,Chinese;Veg,
Chicken Schezwan Noodles,230,12,,,g,,,Chinese;Non-Veg,
Egg Schezwan Noodles,210,9,,,g,,,Chinese;Egg,
Veg Triple Rice,220,6,,,g,,,Chinese;Veg,
Chicken Triple Rice,260,12,,,g,,,Chinese;Non-Veg,
Paneer Butter Kulcha,,,320,10,piece,,,Indian;Veg;Junk,
Amritsari Kulcha,,,300,9,piece,,,Indian;Veg,
Aloo Kulcha,,,280,7,piece,,,Indian;Veg,
Chicken Kulcha,,,350,15,piece,,,Indian;Non-Veg,
Paneer Kulcha,,,320,12,piece,,,Indian;Veg;High Protein,
Veg Fried Momos Schezwan,,,400,8,piece,,,Veg;Junk,
Chicken Fried Momos Schezwan,,,450,18,piece,,,Non-Veg;Junk,
Paneer Fried Momos Schezwan,,,470,14,piece,,,Veg;Junk;High Protein,
Veg Maggi Masala,,,360,9,unit,,,Veg,
Cheese Maggi,,,420,12,unit,,,Veg;Junk,
Chicken Maggi,,,450,15,unit,,,Non-Veg,
Egg Maggi,,,400,12,unit,,,Egg,
Butter Toast,,,180,4,piece,,,Breakfast;Veg,
Jam Toast,,,160,3,piece,,,Breakfast;Veg,
French Fries Peri Peri,330,4,,,g,,,Fast Food;Junk,
Loaded Nachos Cheese,520,8,,,g,,,Snacks;Junk,
Paneer Nuggets,,,350,14,piece,,,Veg;High Protein,
Chicken Nuggets Fried,,,380,18,piece,,,Non-Veg;Junk,
Veg Nuggets,,,280,8,piece,,,Veg,
Paneer Fingers,,,320,12,piece,,,Veg;High Protein,
Chicken Fingers,,,400,20,piece,,,Non-Veg;Junk,
Veg Club Sandwich,,,300,8,piece,,,Fast Food;Veg,
Chicken Club Sandwich,,,380,18,piece,,,Fast Food;Non-Veg;High Protein,
Paneer Club Sandwich,,,350,15,piece,,,Fast Food;Veg;High Protein
